account_id,customer_id,account_type,open_date,status,balance
1,2820,Savings,2025-01-28,Active,111563.53
2,679,Investment,2023-02-28,Closed,137449.33
3,4379,Checking,2025-04-23,Active,50058.9
4,2373,Credit Card,2023-06-23,Active,66868.71
5,969,Credit Card,2024-06-13,Active,29773.85
6,856,Investment,2021-06-14,Closed,64472.28
7,3447,Investment,2024-12-28,Active,9232.79
8,1449,Investment,2024-09-11,Closed,10501.02
9,218,Savings,2025-05-25,Active,123294.35
10,2631,Checking,2023-09-04,Closed,99496.04
11,491,Savings,2021-11-16,Active,10852.5
12,933,Investment,2023-03-12,Closed,4094.04
13,3915,Investment,2024-07-19,Active,50627.3
14,1110,Savings,2021-11-06,Closed,18904.08
15,2915,Savings,2024-04-14,Active,130416.2
16,3102,Credit Card,2025-08-04,Active,62405.72
17,4080,Checking,2021-06-21,Active,126947.56
18,4967,Savings,2022-10-01,Active,6486.34
19,2006,Credit Card,2023-07-18,Active,85684.74
20,4407,Savings,2024-03-02,Active,105604.33
21,600,Savings,2022-03-01,Active,65884.39
22,4911,Investment,2024-09-11,Closed,92084.57
23,1039,Credit Card,2023-09-08,Active,73887.87
24,4537,Investment,2022-02-18,Closed,51703.53
25,587,Savings,2022-11-30,Active,6666.0
26,806,Credit Card,2025-05-15,Active,122271.5
27,2893,Investment,2021-12-02,Closed,44279.15
28,3532,Savings,2023-07-01,Active,10010.24
29,1184,Savings,2023-09-27,Active,47730.44
30,2830,Savings,2022-03-28,Closed,142552.25
31,2994,Investment,2024-10-09,Active,139587.67
32,3162,Investment,2024-06-10,Closed,39396.57
33,3616,Credit Card,2023-11-14,Closed,24381.54
34,2283,Credit Card,2025-07-26,Active,124653.92
35,178,Investment,2022-09-21,Active,47577.76
36,3386,Savings,2024-03-30,Closed,49385.16
37,4374,Checking,2022-11-15,Active,122854.3
38,445,Investment,2025-11-10,Active,112728.73
39,3424,Investment,2024-12-27,Active,89792.92
40,1896,Credit Card,2025-02-23,Active,92276.4
41,4787,Savings,2025-05-12,Active,102879.82
42,2207,Savings,2025-11-10,Active,20083.07
43,904,Investment,2022-09-09,Active,135204.63
44,1525,Savings,2021-10-29,Active,134000.45
45,3781,Checking,2024-02-01,Active,136650.82
46,4037,Investment,2025-01-20,Active,56350.26
47,4258,Checking,2022-08-20,Closed,4121.99
48,1886,Savings,2024-08-23,Active,44244.44
49,4551,Savings,2024-10-25,Active,29363.65
50,1279,Checking,2024-11-21,Active,47840.09
51,3234,Investment,2023-09-27,Closed,2256.73
52,1615,Savings,2023-04-14,Active,127381.0
53,4262,Savings,2023-05-24,Active,17367.15
54,1134,Savings,2025-06-14,Active,123345.06
55,402,Credit Card,2025-01-14,Active,19411.78
56,2074,Savings,2025-05-03,Active,148931.26
57,1741,Investment,2023-05-17,Closed,3929.67
58,4174,Investment,2021-12-07,Closed,108705.36
59,703,Savings,2024-11-29,Closed,1804.7
60,2749,Credit Card,2024-08-03,Active,133652.55
61,4911,Checking,2021-09-30,Active,137625.42
62,2294,Checking,2024-03-09,Active,130129.5
63,1193,Credit Card,2022-06-20,Active,136260.47
64,1763,Checking,2023-02-06,Active,12078.07
65,2719,Investment,2022-08-21,Active,71541.42
66,4347,Checking,2025-01-05,Active,32902.2
67,4292,Checking,2025-02-11,Active,38664.49
68,559,Credit Card,2021-05-06,Active,41154.92
69,524,Investment,2022-12-15,Closed,134096.91
70,2785,Savings,2021-06-05,Active,29044.36
71,845,Savings,2022-07-17,Closed,46889.0
72,2620,Checking,2022-12-23,Active,6788.39
73,99,Investment,2021-07-31,Active,57524.26
74,3665,Investment,2021-08-14,Closed,82562.77
75,296,Checking,2021-07-06,Active,133342.3
