customer_id,customer_name,age,gender,state,customer_segment,join_date,annual_income
1,Customer 1,28,Male,Florida,Mass Affluent,2024-08-02,79106.36
2,Customer 2,27,Other,North Carolina,High Value,2025-02-17,159908.35
3,Customer 3,22,Male,New York,Mass Affluent,2021-03-07,141178.16
4,Customer 4,56,Male,North Carolina,Entry,2021-02-24,78496.94
5,Customer 5,38,Male,California,Entry,2024-04-21,104855.11
6,Customer 6,34,Female,Texas,High Value,2021-11-15,113584.01
7,Customer 7,75,Female,Michigan,Standard,2023-01-06,207568.22
8,Customer 8,50,Other,Texas,Entry,2025-02-03,47336.04
9,Customer 9,74,Other,Michigan,Standard,2022-08-24,157017.47
10,Customer 10,25,Male,New York,Standard,2024-12-13,246748.73
11,Customer 11,35,Male,Georgia,Standard,2025-10-18,129750.27
12,Customer 12,44,Male,Illinois,Standard,2025-09-05,76091.55
13,Customer 13,65,Other,Texas,Mass Affluent,2022-07-01,147510.77
14,Customer 14,31,Female,Georgia,Standard,2022-05-17,247695.14
15,Customer 15,65,Other,New York,Standard,2024-08-03,215427.42
16,Customer 16,24,Male,Ohio,Standard,2025-05-09,118256.25
17,Customer 17,34,Other,Illinois,Mass Affluent,2021-05-16,174196.51
18,Customer 18,62,Female,California,Standard,2023-03-22,60718.67
19,Customer 19,56,Other,Florida,Entry,2025-03-06,227521.03
20,Customer 20,44,Male,California,Entry,2023-03-29,50000.07
21,Customer 21,28,Male,California,Entry,2021-04-07,161209.99
22,Customer 22,45,Other,Virginia,Standard,2023-02-28,243637.24
23,Customer 23,21,Other,Texas,Standard,2025-10-29,199091.72
24,Customer 24,28,Female,Georgia,Mass Affluent,2022-11-28,129819.22
25,Customer 25,67,Female,North Carolina,Mass Affluent,2025-01-18,141689.97
26,Customer 26,61,Female,North Carolina,Mass Affluent,2021-08-06,63624.64
27,Customer 27,31,Other,North Carolina,High Value,2025-04-11,161767.81
28,Customer 28,22,Male,Illinois,Standard,2023-09-28,82679.51
29,Customer 29,57,Male,Texas,Entry,2022-05-09,209525.12
30,Customer 30,55,Male,California,Entry,2025-04-07,238306.71
31,Customer 31,37,Other,Michigan,Entry,2021-12-05,242159.84
32,Customer 32,69,Other,New York,Standard,2024-01-10,117778.31
33,Customer 33,62,Female,Virginia,Entry,2024-10-07,56620.92
34,Customer 34,25,Female,Ohio,Mass Affluent,2022-04-06,159456.83
35,Customer 35,25,Other,Ohio,Mass Affluent,2021-01-15,44828.07
36,Customer 36,42,Male,North Carolina,Mass Affluent,2021-03-06,91265.0
37,Customer 37,34,Other,California,Entry,2023-09-22,83459.39
38,Customer 38,72,Female,New York,High Value,2023-08-27,51324.78
39,Customer 39,43,Female,Georgia,Entry,2023-06-02,220044.08
40,Customer 40,64,Other,Texas,High Value,2021-04-21,118576.68
41,Customer 41,72,Male,New York,Mass Affluent,2022-11-26,71845.96
42,Customer 42,29,Female,California,Standard,2023-07-08,131778.18
43,Customer 43,25,Female,North Carolina,High Value,2025-11-26,41129.43
44,Customer 44,74,Male,Texas,Mass Affluent,2024-01-13,66588.44
45,Customer 45,51,Male,Georgia,High Value,2023-09-22,66220.17
46,Customer 46,45,Female,Virginia,Standard,2021-01-05,123061.65
47,Customer 47,71,Other,Virginia,Mass Affluent,2025-02-05,71777.53
48,Customer 48,24,Other,North Carolina,High Value,2022-03-22,194554.62
49,Customer 49,24,Other,Virginia,Mass Affluent,2021-04-28,42513.51
50,Customer 50,26,Male,Texas,High Value,2023-11-07,178546.76
51,Customer 51,46,Male,Michigan,Mass Affluent,2022-04-27,157362.19
52,Customer 52,60,Male,Georgia,Standard,2021-03-23,235635.38
53,Customer 53,63,Other,Illinois,Mass Affluent,2022-02-23,88435.19
54,Customer 54,63,Other,Florida,Entry,2021-09-26,99558.98
55,Customer 55,25,Male,Virginia,High Value,2025-03-20,46117.36
56,Customer 56,53,Female,California,Standard,2022-03-13,223790.12
57,Customer 57,36,Female,Florida,Mass Affluent,2025-12-06,126400.61
58,Customer 58,66,Female,Michigan,High Value,2024-01-18,176929.9
59,Customer 59,40,Other,Texas,Mass Affluent,2024-02-10,88182.5
60,Customer 60,68,Other,California,Standard,2021-08-08,91986.38
61,Customer 61,66,Female,New York,Standard,2022-03-08,141189.99
62,Customer 62,75,Male,Texas,Entry,2022-05-30,212456.58
63,Customer 63,21,Female,California,Standard,2021-04-01,65548.03
64,Customer 64,56,Other,Georgia,High Value,2023-06-24,54612.25
65,Customer 65,30,Other,Ohio,Standard,2024-11-16,158152.1
66,Customer 66,48,Male,Ohio,Standard,2021-10-31,110223.33
67,Customer 67,23,Female,New York,Mass Affluent,2025-06-19,176725.35
68,Customer 68,70,Other,Georgia,Mass Affluent,2022-12-26,233668.04
69,Customer 69,31,Male,Georgia,High Value,2022-04-30,69459.35
70,Customer 70,71,Female,New York,Standard,2022-11-12,65023.53
71,Customer 71,27,Female,Ohio,Entry,2024-12-07,78935.42
72,Customer 72,50,Female,Florida,Mass Affluent,2025-07-31,79043.18
73,Customer 73,33,Female,Illinois,Standard,2024-09-13,220157.65
74,Customer 74,38,Female,North Carolina,Entry,2025-05-03,179493.99
75,Customer 75,55,Female,Ohio,High Value,2025-09-24,222948.45
76,Customer 76,32,Other,Florida,High Value,2022-06-19,53848.56
77,Customer 77,43,Other,Illinois,Entry,2023-06-09,163365.95
78,Customer 78,28,Female,Michigan,Mass Affluent,2023-11-14,86038.95
79,Customer 79,48,Male,North Carolina,Mass Affluent,2024-12-22,110128.72
80,Customer 80,63,Female,Michigan,Standard,2021-05-24,175945.24
81,Customer 81,67,Female,North Carolina,Standard,2021-09-13,176716.44
82,Customer 82,46,Other,Florida,Mass Affluent,2022-10-31,72204.82
83,Customer 83,45,Other,California,Standard,2024-09-23,119336.54
84,Customer 84,21,Female,Florida,Mass Affluent,2025-09-04,124575.39
85,Customer 85,59,Other,Illinois,Entry,2024-04-02,127192.92
86,Customer 86,34,Other,Virginia,Mass Affluent,2024-10-15,174947.16
87,Customer 87,53,Other,Michigan,Standard,2022-08-05,50545.18
88,Customer 88,36,Other,Florida,Mass Affluent,2025-03-19,207443.84
89,Customer 89,22,Male,New York,Entry,2021-10-29,164480.27
90,Customer 90,25,Female,Georgia,Mass Affluent,2025-04-23,188036.1
91,Customer 91,52,Female,New York,Mass Affluent,2023-02-26,174332.76
92,Customer 92,69,Male,Georgia,Mass Affluent,2021-01-12,68695.07
93,Customer 93,54,Female,Ohio,Mass Affluent,2024-11-26,231843.4
94,Customer 94,50,Male,Virginia,Standard,2021-09-06,239008.71
95,Customer 95,60,Other,North Carolina,Entry,2023-06-26,212725.22
96,Customer 96,49,Male,Virginia,Entry,2024-01-28,87022.14
97,Customer 97,74,Other,Florida,Entry,2022-05-22,167884.66
98,Customer 98,49,Male,Florida,Mass Affluent,2022-07-17,89777.32
99,Customer 99,55,Male,California,Mass Affluent,2022-10-17,80877.53
100,Customer 100,30,Other,New York,High Value,2024-11-22,121270.94
101,Customer 101,55,Female,Georgia,High Value,2022-11-09,75503.57
102,Customer 102,45,Other,Ohio,Entry,2023-05-11,134935.54
103,Customer 103,40,Female,Georgia,Mass Affluent,2022-12-22,137410.49
104,Customer 104,48,Female,Ohio,Entry,2022-07-13,103948.5
105,Customer 105,72,Female,California,Entry,2024-10-22,232299.16
106,Customer 106,55,Male,Georgia,High Value,2024-06-28,48468.44
107,Customer 107,29,Female,California,High Value,2023-05-28,87234.39
108,Customer 108,34,Female,Illinois,Standard,2022-11-02,197470.54
109,Customer 109,38,Female,Florida,High Value,2023-02-16,133467.5
110,Customer 110,55,Male,Illinois,Mass Affluent,2025-03-15,173031.7
111,Customer 111,62,Male,Ohio,Mass Affluent,2025-05-19,73859.35
112,Customer 112,60,Male,New York,Mass Affluent,2021-02-11,134183.43
113,Customer 113,57,Male,Virginia,Standard,2021-08-23,198717.58
114,Customer 114,59,Other,Texas,Mass Affluent,2021-12-10,242238.57
115,Customer 115,58,Male,Florida,Entry,2021-08-10,117263.98
116,Customer 116,33,Male,Michigan,Mass Affluent,2025-01-04,52418.29
117,Customer 117,40,Other,Michigan,High Value,2025-05-02,205169.99
118,Customer 118,71,Male,Illinois,Entry,2024-03-05,175534.69
119,Customer 119,53,Other,Illinois,High Value,2021-05-22,216906.64
120,Customer 120,52,Male,Georgia,Standard,2025-08-12,169828.72
121,Customer 121,50,Other,California,Entry,2025-08-25,68750.13
122,Customer 122,62,Female,Michigan,Entry,2023-12-05,132272.23
123,Customer 123,67,Other,Florida,Standard,2025-08-19,217376.9
124,Customer 124,26,Female,Virginia,Mass Affluent,2025-08-29,195104.78
125,Customer 125,60,Other,Georgia,Standard,2024-03-13,36314.0
126,Customer 126,41,Male,Virginia,Mass Affluent,2025-10-09,108061.49
127,Customer 127,42,Female,Michigan,Standard,2022-06-14,152274.03
128,Customer 128,33,Male,New York,Entry,2023-11-25,137487.13
129,Customer 129,36,Other,Virginia,Entry,2025-04-02,128598.4
130,Customer 130,26,Female,New York,Entry,2021-02-05,182193.17
131,Customer 131,63,Other,Illinois,Entry,2022-09-20,151764.05
132,Customer 132,48,Other,North Carolina,Standard,2022-12-06,107398.32
133,Customer 133,38,Female,Florida,Mass Affluent,2023-07-19,56544.29
134,Customer 134,41,Male,North Carolina,Mass Affluent,2022-01-30,72139.01
135,Customer 135,51,Female,Michigan,Standard,2025-02-21,245712.34
136,Customer 136,33,Female,New York,Standard,2025-09-02,69477.14
137,Customer 137,66,Other,California,Standard,2021-01-29,40013.45
138,Customer 138,56,Female,California,Entry,2021-04-22,52569.28
139,Customer 139,57,Female,Virginia,Entry,2021-01-26,126903.14
140,Customer 140,24,Female,Virginia,High Value,2022-01-13,210865.44
141,Customer 141,52,Male,Michigan,High Value,2023-04-01,63379.94
142,Customer 142,57,Female,Texas,Mass Affluent,2025-07-20,56059.34
143,Customer 143,47,Other,Michigan,Mass Affluent,2025-04-15,200652.58
144,Customer 144,49,Female,Florida,Entry,2023-02-19,97183.65
145,Customer 145,24,Other,Texas,Mass Affluent,2024-06-25,167613.31
146,Customer 146,63,Male,California,Mass Affluent,2022-06-26,68238.98
147,Customer 147,31,Male,Georgia,Entry,2021-06-03,181661.65
148,Customer 148,39,Male,New York,Standard,2023-08-21,185530.28
149,Customer 149,50,Male,New York,Standard,2024-12-10,203322.17
150,Customer 150,58,Other,New York,Entry,2024-07-04,55250.79
151,Customer 151,62,Male,Florida,Mass Affluent,2022-04-06,45710.16
