transaction_id,customer_id,account_id,transaction_date,transaction_type,amount,merchant_category,channel,status
1,3433,971,2024-08-04,Payment,46.54,Transportation,Online,Completed
2,1279,3842,2025-06-23,Payment,83.94,Healthcare,Branch,Completed
3,103,6447,2024-02-27,Deposit,15.7,Retail,Phone,Pending
4,1882,4429,2025-02-03,Transfer,17.43,Grocery,Mobile,Failed
5,4031,3594,2025-09-15,Deposit,87.22,Travel,Branch,Failed
6,3366,2361,2025-06-02,Payment,60.65,Utilities,ATM,Pending
7,3590,3136,2025-08-26,Purchase,97.68,Education,Phone,Completed
8,2079,675,2025-01-09,Withdrawal,67.47,Transportation,Mobile,Completed
9,2541,823,2024-03-29,Purchase,78.08,Transportation,Mobile,Completed
10,3342,2504,2025-01-21,Transfer,75.57,Entertainment,Branch,Failed
11,3146,2514,2024-07-20,Withdrawal,156.58,Entertainment,Mobile,Completed
12,4598,6175,2024-08-26,Withdrawal,71.04,Retail,ATM,Failed
13,3080,6890,2024-10-01,Withdrawal,527.97,Retail,Online,Completed
14,917,2340,2024-12-02,Withdrawal,30.93,Travel,ATM,Completed
15,1210,5052,2025-09-02,Transfer,121.19,Grocery,Branch,Completed
16,4423,4868,2025-06-07,Transfer,5.98,Retail,Online,Pending
17,2381,924,2024-03-18,Transfer,30.74,Healthcare,Phone,Completed
18,676,1049,2024-04-08,Withdrawal,145.2,Education,Mobile,Completed
19,2958,5553,2025-04-08,Withdrawal,22.42,Grocery,Mobile,Completed
20,4157,4865,2025-09-04,Transfer,46.46,Healthcare,ATM,Completed
21,752,3964,2024-01-13,Purchase,43.39,Retail,Phone,Failed
22,2478,461,2024-11-08,Transfer,24.22,Healthcare,Online,Completed
23,3558,771,2024-10-26,Withdrawal,2.62,Utilities,Phone,Failed
24,4327,2495,2025-12-10,Payment,130.5,Dining,Phone,Completed
25,4495,5792,2025-07-29,Withdrawal,133.49,Dining,Phone,Completed
26,2573,1873,2025-11-14,Transfer,74.21,Entertainment,Online,Completed
27,1757,620,2025-01-17,Transfer,82.38,Utilities,Branch,Pending
28,1402,4653,2025-04-10,Deposit,54.14,Travel,Branch,Pending
29,4414,6874,2025-03-10,Transfer,47.06,Education,Mobile,Failed
30,3067,4498,2024-03-23,Withdrawal,9.42,Travel,Mobile,Pending
31,4901,4565,2024-01-22,Deposit,11.51,Dining,Mobile,Completed
32,1217,4167,2025-02-16,Deposit,43.66,Travel,ATM,Pending
33,1339,1750,2025-10-08,Payment,6.24,Education,Mobile,Failed
34,1387,4540,2025-04-06,Transfer,88.14,Retail,Branch,Failed
35,752,3964,2025-02-22,Withdrawal,65.61,Education,Online,Failed
36,4237,769,2024-03-23,Transfer,53.64,Dining,Branch,Completed
37,4223,2323,2025-08-17,Transfer,61.89,Education,Branch,Completed
38,3838,709,2024-03-30,Transfer,51.25,Dining,Branch,Completed
39,1629,5494,2024-02-29,Transfer,22.61,Travel,Online,Failed
40,1566,4585,2024-04-13,Transfer,204.61,Healthcare,ATM,Failed
41,4000,7214,2025-03-01,Payment,14.69,Education,Mobile,Completed
42,4788,5751,2025-05-31,Deposit,76.19,Healthcare,ATM,Completed
43,2518,485,2025-05-18,Deposit,9.08,Retail,Phone,Completed
44,1267,2128,2024-11-07,Deposit,26.07,Transportation,Online,Completed
45,1281,1233,2024-02-17,Purchase,79.22,Transportation,Phone,Completed
46,1552,3229,2024-06-10,Transfer,22.19,Utilities,ATM,Failed
47,4386,7189,2024-03-29,Withdrawal,96.22,Education,Online,Completed
48,1175,3236,2024-06-10,Payment,44.46,Transportation,Mobile,Pending
49,437,7178,2025-08-24,Withdrawal,74.58,Entertainment,Online,Completed
50,2350,2729,2024-10-09,Transfer,32.01,Travel,Branch,Completed
51,3175,169,2024-01-02,Transfer,25.64,Retail,Branch,Completed
52,3289,6971,2025-07-15,Withdrawal,54.3,Grocery,Online,Completed
53,1378,2303,2024-12-01,Withdrawal,42.59,Transportation,ATM,Failed
54,3742,5548,2024-12-09,Payment,40.97,Healthcare,Mobile,Pending
55,4774,6455,2024-02-23,Purchase,17.23,Utilities,Phone,Completed
56,2871,758,2025-10-24,Transfer,109.85,Travel,Branch,Completed
57,3216,4747,2024-05-18,Purchase,34.31,Grocery,Mobile,Completed
58,542,2460,2024-05-27,Purchase,47.53,Transportation,ATM,Completed
59,1058,4382,2024-03-10,Transfer,56.1,Retail,ATM,Failed
60,1969,6260,2025-04-28,Purchase,23.72,Transportation,Online,Completed
61,3065,6520,2025-09-17,Transfer,87.39,Travel,ATM,Completed
62,4816,3020,2024-04-21,Deposit,101.4,Entertainment,ATM,Pending
63,1896,302,2024-12-17,Payment,152.54,Retail,Branch,Failed
64,430,3311,2025-09-15,Payment,38437.2,Travel,ATM,Pending
65,1213,2848,2025-03-01,Withdrawal,68.53,Travel,Mobile,Completed
66,2731,6236,2025-02-21,Deposit,24.23,Healthcare,Online,Failed
67,2087,5927,2025-01-20,Purchase,24.82,Healthcare,Online,Completed
68,1037,5881,2024-01-22,Withdrawal,28.86,Retail,Mobile,Failed
69,4104,1685,2025-08-10,Withdrawal,87.51,Dining,Branch,Failed
70,99,1381,2025-07-14,Purchase,37.01,Retail,Online,Pending
71,4394,5784,2025-07-25,Deposit,42.65,Education,Branch,Completed
72,4290,3935,2025-04-24,Payment,95.09,Entertainment,Mobile,Completed
73,4865,990,2024-11-15,Withdrawal,139.25,Education,Branch,Completed
74,323,3539,2025-03-15,Transfer,49.4,Retail,Mobile,Completed
75,227,2251,2024-08-15,Deposit,43.7,Dining,Phone,Completed
76,1655,1791,2025-09-27,Withdrawal,46264.24,Education,ATM,Completed
77,868,2103,2024-02-10,Deposit,59.08,Travel,ATM,Completed
78,36,3710,2025-05-29,Purchase,245.25,Education,Mobile,Completed
79,4267,1833,2025-11-15,Transfer,64.36,Utilities,Online,Pending
80,354,3697,2024-04-27,Payment,412.65,Transportation,Phone,Completed
81,1088,1458,2025-11-26,Purchase,61.91,Entertainment,Branch,Pending
82,3028,6497,2025-06-06,Purchase,87.26,Education,Mobile,Failed
83,3298,5912,2024-03-25,Payment,262.86,Grocery,Branch,Completed
84,3841,1406,2024-02-03,Purchase,17.12,Utilities,Phone,Completed
85,4948,1155,2024-12-24,Deposit,9.13,Travel,Online,Failed
86,2460,5502,2025-03-25,Transfer,83.11,Retail,ATM,Completed
87,1070,3757,2024-07-09,Withdrawal,47.39,Transportation,ATM,Completed
88,3225,2606,2024-01-25,Deposit,60.33,Transportation,Branch,Completed
89,3785,91,2024-02-25,Purchase,597.74,Utilities,Phone,Failed
90,4472,6829,2025-10-05,Deposit,86.93,Entertainment,Phone,Completed
91,225,3425,2025-12-08,Withdrawal,15.73,Entertainment,Online,Pending
92,2000,2790,2025-02-13,Transfer,56.77,Travel,Branch,Failed
93,2108,1822,2025-10-06,Deposit,188.1,Healthcare,Online,Failed
94,588,6166,2025-05-17,Transfer,73.65,Entertainment,Phone,Completed
95,1411,5273,2024-03-08,Payment,122.58,Transportation,Mobile,Completed
96,2231,2864,2024-12-11,Payment,81.08,Dining,Mobile,Completed
97,804,2668,2024-04-27,Transfer,15.05,Utilities,ATM,Pending
98,4368,3182,2024-03-03,Withdrawal,69.61,Healthcare,Online,Failed
99,1749,1493,2025-10-15,Purchase,144.21,Travel,ATM,Failed
100,2041,378,2024-01-03,Payment,12.81,Travel,Mobile,Completed
101,4875,4644,2024-08-17,Payment,89.06,Education,Mobile,Completed
102,1110,14,2024-09-28,Deposit,38.6,Utilities,ATM,Completed
103,545,4844,2024-08-16,Transfer,84.57,Utilities,Phone,Completed
104,1339,4608,2024-11-19,Transfer,121.84,Healthcare,ATM,Pending
105,2806,5125,2025-08-12,Deposit,90.78,Entertainment,ATM,Pending
106,823,5296,2025-08-12,Payment,11.21,Travel,Online,Pending
107,2224,6480,2025-03-24,Deposit,10.5,Dining,ATM,Completed
108,919,3291,2024-07-04,Transfer,266.19,Retail,ATM,Completed
109,1745,2912,2025-01-30,Transfer,29.18,Education,Online,Completed
110,767,4683,2024-05-28,Withdrawal,80.03,Healthcare,ATM,Completed
111,195,866,2024-04-09,Purchase,14.46,Grocery,Phone,Completed
112,3412,2807,2024-07-10,Purchase,99.45,Travel,Branch,Pending
113,4911,2673,2024-08-19,Purchase,69.58,Dining,Phone,Completed
114,1858,3310,2024-03-09,Withdrawal,105.37,Dining,Online,Pending
115,398,722,2024-03-11,Payment,29.65,Dining,Online,Completed
116,2950,3011,2024-08-24,Purchase,68.26,Education,Mobile,Failed
117,742,4499,2025-07-07,Payment,35.47,Healthcare,Phone,Completed
118,1886,4176,2025-04-17,Purchase,269.32,Grocery,Branch,Completed
119,4837,2516,2024-08-25,Payment,10.84,Retail,Phone,Completed
120,2973,1462,2025-08-24,Purchase,73.62,Education,ATM,Failed
121,1433,4813,2025-03-13,Withdrawal,402.32,Education,ATM,Pending
122,3557,1818,2024-02-05,Payment,12.77,Transportation,Branch,Completed
123,3050,6541,2025-01-17,Deposit,158.68,Travel,Mobile,Failed
124,1335,5243,2024-11-26,Withdrawal,16.73,Dining,Online,Pending
